gene.x,gene.y,weight.Integrated_score,evidence: CCMI,evidence: Co-dependence,evidence: mRNA co-expression,evidence: Physical,evidence: Protein co-expression,evidence: Sequence similarity,Integrated score,interaction,name,selected,shared interaction,shared name
TTF2,UBR5,0.206,0,0.199,0.267,0.219,0.18,0.083,0.206,interacts-with,TTF2 (interacts-with) UBR5,FALSE,interacts-with,TTF2 (interacts-with) UBR5
TTF2,XPO1,0.238,0,0.054,0.399,0.19,0.214,0.014,0.238,interacts-with,TTF2 (interacts-with) XPO1,FALSE,interacts-with,TTF2 (interacts-with) XPO1
TTF2,XPO5,0.204,0,0.227,0.346,0.193,0.176,0.009,0.204,interacts-with,TTF2 (interacts-with) XPO5,FALSE,interacts-with,TTF2 (interacts-with) XPO5
LSM4,LSM5,0.465,0,0.365,0.363,0.413,0.09,0.535,0.465,interacts-with,LSM4 (interacts-with) LSM5,FALSE,interacts-with,LSM4 (interacts-with) LSM5
LSM4,LSM6,0.771,0,0.404,0.269,0.574,0.552,0.601,0.771,interacts-with,LSM4 (interacts-with) LSM6,FALSE,interacts-with,LSM4 (interacts-with) LSM6
AAAS,NDC1,0.683,0,0.455,0.285,0.489,0.556,0.154,0.683,interacts-with,AAAS (interacts-with) NDC1,FALSE,interacts-with,AAAS (interacts-with) NDC1
AAAS,NUP35,0.497,0,0.334,0.242,0.452,0.355,0.003,0.497,interacts-with,AAAS (interacts-with) NUP35,FALSE,interacts-with,AAAS (interacts-with) NUP35
AAAS,NUP37,0.499,0,0.214,0.283,0.456,0.419,0.01,0.499,interacts-with,AAAS (interacts-with) NUP37,FALSE,interacts-with,AAAS (interacts-with) NUP37
AAAS,NUP43,0.44,0,0.18,0.249,0.454,0.237,0.01,0.44,interacts-with,AAAS (interacts-with) NUP43,FALSE,interacts-with,AAAS (interacts-with) NUP43
AAAS,NUP62,0.198,0,0.1,0.16,0.385,0.205,0.107,0.198,interacts-with,AAAS (interacts-with) NUP62,FALSE,interacts-with,AAAS (interacts-with) NUP62
AAAS,NUP85,0.494,0,0.11,0.26,0.459,0.447,0.095,0.494,interacts-with,AAAS (interacts-with) NUP85,FALSE,interacts-with,AAAS (interacts-with) NUP85
AAAS,NUP98,0.303,0,0.152,0.17,0.42,0.448,0.073,0.303,interacts-with,AAAS (interacts-with) NUP98,FALSE,interacts-with,AAAS (interacts-with) NUP98
AAAS,NUP107,0.545,0,0.1,0.292,0.454,0.46,0.266,0.545,interacts-with,AAAS (interacts-with) NUP107,FALSE,interacts-with,AAAS (interacts-with) NUP107
AAAS,NUP133,0.582,0,0.068,0.251,0.439,0.56,0.015,0.582,interacts-with,AAAS (interacts-with) NUP133,FALSE,interacts-with,AAAS (interacts-with) NUP133
AAAS,NUP155,0.39,0,0.305,0.202,0.438,0.394,0.115,0.39,interacts-with,AAAS (interacts-with) NUP155,FALSE,interacts-with,AAAS (interacts-with) NUP155
AAAS,NUP160,0.569,0,0.054,0.241,0.458,0.497,0.084,0.569,interacts-with,AAAS (interacts-with) NUP160,FALSE,interacts-with,AAAS (interacts-with) NUP160
AAAS,NUP205,0.504,0,0.21,0.26,0.448,0.489,0.004,0.504,interacts-with,AAAS (interacts-with) NUP205,FALSE,interacts-with,AAAS (interacts-with) NUP205
