gene.x,gene.y,weight.AF_confidence
AP2A2,AP2S1,0.9082
AP2A1,AP2S1,0.9048
AP1G1,AP2S1,0.902
CTR9,WDR61,0.892
NUP160,NUP37,0.928
DCAF7,SETD5,0.824
ANK2,GABARAP,0.8182
DCAF7,TCF20,0.808
ANK2,GABARAPL2,0.8172
AP1B1,AP1M1,0.89
NCBP1,NCBP2,0.93
AP1M1,AP2B1,0.882
EIF3G,EIF3I,0.856
RBBP4,SIN3A,0.818
RBBP7,SIN3A,0.818
GABARAP,PRRC2A,0.778
NUP98,RAE1,0.808
PLEKHG3,RHOG,0.822
TTC37,WDR61,0.878
DCAF7,DYRK1A,0.8084
CYFIP2,NCKAP1,0.896
DCAF7,FAM117B,0.818
DCAF7,GLCCI1,0.82
FNTA,FNTB,0.894
GABARAPL2,PRRC2A,0.77
PPP2CA,PPP2R1A,0.882
PPP2CB,PPP2R1A,0.882
PPP2CB,PPP2R1B,0.876
CNOT1,CNOT9,0.788
EIF3K,EIF3L,0.884
FMNL2,RHOG,0.82
HDAC3,NCOR1,0.79
HDAC3,NCOR2,0.79
NME6,RCC1L,0.884
PPP2CA,PPP2R1B,0.86
RNF40,UBE2A,0.782
DCAF7,PRR12,0.776
AP1B1,AP2M1,0.848
AP2B1,AP2M1,0.85
DARS2,NARS2,0.88
DCAF7,FAM117A,0.814
DCAF7,RNF169,0.794
EFTUD2,PRPF8,0.848
IFT27,IFT81,0.79
MTA2,RBBP4,0.806
MTA3,RBBP4,0.812
NAA10,NAA15,0.874
NUP43,NUP85,0.87
YWHAG,YWHAH,0.882
AAGAB,AP2S1,0.832
CTNNB1,CTNNBIP1,0.838
PPP2CA,PPP2R5D,0.848
PPP2CB,PPP2R5D,0.848
CPSF1,WDR33,0.83
DCAF7,NCOA1,0.768
DCAF7,SEC16A,0.76
DCAF7,ZNF281,0.774
FAM91A1,WDR11,0.864
GABARAP,ITPRID2,0.744
HDAC3,SIN3A,0.812
IDH3A,IDH3G,0.866
IFT172,IFT80,0.824
MTA1,RBBP4,0.798
MTA3,RBBP7,0.804
PPP2R1B,PPP4C,0.842
BCL11A,RBBP4,0.776
DCAF7,KIAA0232,0.76
DCAF7,SKI,0.8
ATXN2,MTX2,0.75
CTSA,GLB1,0.864
ERCC3,GTF2H5,0.838
IQGAP1,RHOG,0.782
MED23,MED24,0.866
MTA1,RBBP7,0.79
MTA2,RBBP7,0.79
NCBP1,ZC3H18,0.804
OGT,WDR61,0.852
PARD3,YWHAH,0.752
WDR26,YPEL5,0.83
AMBRA1,DCAF7,0.754
AP2S1,BMP2K,0.754
ARMC8,RANBP9,0.828
DCAF7,FAM53B,0.79
DCAF7,FAM53C,0.792
DCAF7,LZTS2,0.766
DCAF7,SPECC1L,0.766
GABARAP,MPRIP,0.728
GLCCI1,WDR61,0.774
HDAC3,SIN3B,0.8
MAEA,RMND5A,0.846
MED16,MED24,0.854
NME6,TFB2M,0.84
ODR4,UFSP2,0.848
PPP2R1A,PPP4C,0.82
USP54,YWHAH,0.744
BCL11A,RBBP7,0.762
PPP2R5D,PPP4C,0.822
AP2S1,KIAA1671,0.724
ARMC8,RANBP10,0.822
BMP2K,DCAF7,0.768
CPSF1,CPSF2,0.804
CRTAP,P3H1,0.836
DCAF7,QRICH1,0.792
EXOSC2,MTREX,0.828
FAM117B,YWHAH,0.758
FAM53B,YWHAG,0.762
GID8,RANBP9,0.802
GLB1,VRK3,0.832
MTMR1,SBF1,0.824
