name,gene.x,gene.y,complexSize
18S U11/U12 snRNP,PDCD7,PRPF8,24
18S U11/U12 snRNP,PDCD7,RNPC3,24
18S U11/U12 snRNP,PRPF8,RNPC3,24
20S proteasome,PSMA2,PSMB5,14
26S proteasome,PSMA2,PSMB5,22
"28S ribosomal subunit, mitochondrial",MRPS18A,MRPS2,30
"28S ribosomal subunit, mitochondrial",MRPS18A,MRPS23,30
"28S ribosomal subunit, mitochondrial",MRPS18A,MRPS28,30
"28S ribosomal subunit, mitochondrial",MRPS18A,MRPS5,30
"28S ribosomal subunit, mitochondrial",MRPS18A,MRPS9,30
"28S ribosomal subunit, mitochondrial",MRPS2,MRPS23,30
"28S ribosomal subunit, mitochondrial",MRPS2,MRPS28,30
"28S ribosomal subunit, mitochondrial",MRPS2,MRPS5,30
"28S ribosomal subunit, mitochondrial",MRPS2,MRPS9,30
"28S ribosomal subunit, mitochondrial",MRPS23,MRPS28,30
"28S ribosomal subunit, mitochondrial",MRPS23,MRPS5,30
"28S ribosomal subunit, mitochondrial",MRPS23,MRPS9,30
"28S ribosomal subunit, mitochondrial",MRPS28,MRPS5,30
"28S ribosomal subunit, mitochondrial",MRPS28,MRPS9,30
"28S ribosomal subunit, mitochondrial",MRPS5,MRPS9,30
"39S ribosomal subunit, mitochondrial",LACTB,MRPL17,48
"39S ribosomal subunit, mitochondrial",LACTB,MRPL3,48
"39S ribosomal subunit, mitochondrial",LACTB,MRPL38,48
"39S ribosomal subunit, mitochondrial",LACTB,MRPL4,48
"39S ribosomal subunit, mitochondrial",LACTB,MRPL40,48
"39S ribosomal subunit, mitochondrial",LACTB,MRPL45,48
"39S ribosomal subunit, mitochondrial",LACTB,MRPL46,48
"39S ribosomal subunit, mitochondrial",LACTB,MRPL49,48
"39S ribosomal subunit, mitochondrial",LACTB,MRPL50,48
"39S ribosomal subunit, mitochondrial",LACTB,MRPL55,48
"39S ribosomal subunit, mitochondrial",MRPL17,MRPL3,48
